flag_name,flag_on,traffic,user,region,latency,cpu,error
cart_operations_cart_notifications,1,high,mobile,EU,325,98,0
cart_offers_referral_offers,1,high,web,APAC,401,87,0
notification_routing_enable,1,high,web,US,451,95,1
order_pricing_enable_order_billing,1,medium,mobile,APAC,226,52,0
notification_senderid_whitelist_enable,1,high,web,LATAM,371,103,0
customer_enable_contact_management,1,high,mobile,LATAM,342,101,1
order_fulfillment_enable_shipping,1,medium,mobile,US,185,74,0
billing_enable_debit_memo_creation,1,low,mobile,APAC,149,80,0
customer_enable_data_deletion,1,high,web,EU,351,115,0
customer_enable_email_verification,1,low,web,EU,187,49,0
inventory_enable_cross_warehouse_transfer,0,medium,web,LATAM,138,38,0
billing_enable_credit_memo_creation,1,low,mobile,LATAM,242,56,0
payment_billing_enable_billing_notifications,1,high,web,APAC,461,93,1
inventory_enable_supplier_performance_tracking,1,medium,web,EU,209,82,0
cart_offers_loyalty_rewards,0,high,web,LATAM,141,64,0
payment_advanced_enable_predictive_churn,1,medium,mobile,LATAM,130,56,0
notification_sms_fragmentation_enable,1,low,web,US,193,83,0
cart_checkout_guest_checkout,0,low,web,APAC,147,52,0
payment_currency_enable_currency_rate_management,1,low,mobile,LATAM,170,62,0
catalog_enable_regional_pricing,0,low,mobile,LATAM,148,60,0
inventory_enable_disposal_tracking,1,medium,web,LATAM,221,72,0
payment_advanced_enable_predictive_churn,1,high,mobile,LATAM,382,102,0
billing_enable_subscription_discount,0,high,mobile,LATAM,156,53,0
notification_channel_push_enable,0,high,web,US,137,64,0
billing_enable_payment_plan_creation,1,medium,mobile,US,223,56,0
customer_enable_bulk_operations,1,low,web,US,207,51,0
provisioning_enable_device_activation,1,low,mobile,EU,213,57,0
cart_operations_quick_order,1,medium,mobile,APAC,188,59,0
payment_analytics_enable_customer_payment_analytics,1,high,mobile,LATAM,342,85,0
auth_enable_2fa,1,high,web,US,417,117,1
catalog_enable_ai_pricing,0,high,mobile,LATAM,154,40,0
provisioning_enable_network_config,1,low,mobile,US,223,66,0
inventory_enable_price_management,1,low,web,LATAM,248,85,0
billing_enable_manual_reconciliation,0,low,web,US,137,35,0
cart_product_management_product_search,1,low,web,APAC,186,69,0
inventory_enable_cost_tracking,1,high,mobile,US,377,79,1
provisioning_enable_device_activation,1,high,mobile,APAC,366,116,0
provisioning_enable_service_upgrade,0,medium,mobile,LATAM,117,62,0
order_pricing_enable_order_billing,0,medium,mobile,US,101,65,0
cart_compatibility_device_plan_matching,1,high,mobile,EU,330,82,0
customer_enable_contract_templates,1,high,mobile,EU,359,104,0
catalog_enable_product_analytics,1,medium,mobile,EU,182,65,1
payment_recurring_enable_auto_renew,0,high,web,EU,122,63,0
catalog_enable_promotional_pricing,1,high,web,APAC,442,112,0
order_lifecycle_enable_order_tracking,1,high,mobile,APAC,408,93,0
payment_currency_enable_currency_conversion,0,medium,web,US,132,63,0
billing_tax_reporting,0,high,mobile,US,103,63,0
billing_enable_reversal_processing,1,high,mobile,US,376,95,0
cart_bundling_service_bundles,0,high,mobile,APAC,130,61,0
inventory_enable_stock_level_management,1,high,web,US,376,86,0
cart_tax_compliance,1,medium,web,US,218,56,1
order_pricing_enable_tax_calculation,1,high,mobile,LATAM,322,95,0
payment_refund_enable_full_refund,1,high,mobile,US,303,98,0
payment_compliance_enable_pci_dss_compliance,0,high,web,APAC,91,41,0
provisioning_enable_auto_scaling,0,high,web,US,144,36,0
cart_bundling_dynamic_bundles,1,high,web,APAC,310,127,0
cart_inventory_pre_order_support,1,low,mobile,EU,171,48,0
catalog_enable_device_availability,1,medium,web,LATAM,194,58,0
catalog_enable_bundle_publishing,0,medium,web,LATAM,106,57,0
customer_enable_signature_capture,1,medium,mobile,APAC,181,72,0
catalog_enable_device_images,1,medium,web,APAC,187,61,0
billing_enable_payment_plan_creation,1,low,mobile,APAC,188,53,0
inventory_enable_order_allocation,0,low,web,EU,118,44,0
billing_enable_write_off_management,0,high,web,US,143,61,0
order_provisioning_enable_activation_delay,0,low,mobile,APAC,109,63,0
billing_enable_transaction_history,1,medium,web,US,221,89,0
notification_dnd_checks_enable,1,high,mobile,APAC,352,90,0
inventory_enable_demand_planning,1,high,web,US,414,100,0
catalog_enable_allocation_rules,1,high,web,US,346,90,1
catalog_enable_review_images,0,high,web,US,111,37,0
catalog_enable_product_analytics,1,high,mobile,US,386,99,0
payment_analytics_enable_customer_payment_analytics,1,high,mobile,LATAM,442,95,0
cart_checkout_guest_checkout,0,medium,mobile,EU,117,37,0
payment_analytics_enable_payment_method_analytics,1,high,mobile,EU,344,92,1
customer_enable_bulk_operations,0,low,web,US,160,41,0
catalog_enable_product_modification,0,high,web,EU,109,36,0
inventory_enable_supplier_pricing,0,high,web,EU,157,58,0
payment_notification_enable_invoice_notification,1,high,web,US,255,88,1
cart_bundling_device_plan_bundles,0,medium,web,LATAM,106,57,0
inventory_enable_equipment_tracking,1,medium,web,US,142,70,0
cart_analytics_revenue_tracking,1,medium,web,LATAM,222,60,0
customer_enable_termination,0,high,web,EU,101,48,0
cart_operations_saved_for_later,1,medium,mobile,APAC,185,77,0
catalog_enable_product_deletion,0,low,web,APAC,159,61,0
provisioning_enable_performance_metrics,1,high,web,EU,386,98,0
payment_advanced_enable_payment_optimization,1,high,mobile,LATAM,298,96,0
cart_operations_cart_recovery,1,high,mobile,APAC,425,93,0
customer_enable_notification_preferences,1,medium,web,EU,183,57,0
customer_enable_manual_approval,0,high,web,LATAM,105,37,0
customer_enable_contact_management,0,high,web,APAC,131,43,0
billing_tax_by_region,1,high,web,LATAM,328,126,0
order_fulfillment_enable_packing,1,low,mobile,APAC,178,74,0
inventory_enable_valuation_methods,1,high,web,APAC,363,102,1
cart_pricing_bundle_discounts,0,high,web,US,136,62,0
catalog_enable_discount_rules,1,high,mobile,APAC,460,117,1
payment_currency_enable_multi_currency,1,high,mobile,APAC,395,131,0
cart_tax_by_region,0,medium,mobile,US,125,39,0
order_pricing_enable_dynamic_pricing,0,high,web,APAC,129,51,0
order_pricing_enable_discount_application,0,high,web,APAC,137,53,0
order_compliance_enable_audit_logging,1,medium,web,US,170,60,0
provisioning_enable_carrier_specific_config,1,high,mobile,US,457,97,0
cart_offers_referral_offers,1,high,web,APAC,439,95,0
provisioning_enable_supplementary_services,1,medium,web,US,195,71,1
customer_enable_communication_channel_preference,1,high,mobile,US,377,94,1
customer_enable_fraud_detection,1,medium,mobile,APAC,190,61,0
customer_enable_data_deletion,1,high,web,LATAM,433,105,0
payment_reconciliation_enable_payment_reconciliation,1,medium,web,EU,192,54,0
billing_enable_installment_management,1,high,mobile,EU,392,103,0
billing_enable_installment_management,0,high,mobile,EU,98,44,0
catalog_enable_availability_check,1,low,web,LATAM,194,55,0
customer_enable_signature_capture,1,high,web,LATAM,347,101,0
cart_checkout_multiple_payment_methods,0,high,web,US,113,53,0
cart_tax_by_region,1,high,web,APAC,402,106,0
provisioning_enable_service_status_updates,1,high,web,EU,401,88,1
